DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
X,1,JCU,30,,Pistol,Run,R,10,6,5,1,-4,,,,16.24,17.57,-2,,,,,,,,,No Catch,0,1.33,
,2,JCU,30,,Pistol,Pass Attempt,R,10,6,5,,,,11.15,12.35,,,6,,Catch,OnTarg,-2.5,4,PA,Slot Right,Swing,8.5,1.2,0,
,3,JCU,30,,Pistol,Run,R,11,7,5,5,-2,,,,9.45,11.6,-1,,,,,,,,,No Catch,0,2.15,
,4,JCU,30,,Under,Pass Attempt,R,11,6,5,,,,1.17,3.92,,,2,,Catch,UnderThrown,1,87,PA,Wing Right,Chip n Release,1,2.75,0,
X,9,JCU,30,,Pistol,Pass Attempt,R,10,6,5,,,,6.7,8.55,,,20,,Catch,OnTarg,-2,1,No,RB Right,Screen,22,1.85,0,
,10,JCU,30,,Pistol,Run,L,10,6,5,1,1,,,,9.4,11.85,2,,,,,,,,,No Catch,0,2.45,
,11,JCU,30,,Under,Pass Attempt,R,11,6,5,,,,7.29,11.22,,,3,,Catch,OnTarg,1,87,PA,Wing Right,Chip n Release,2,3.93,0,
,12,JCU,30,,Pistol,Pass Attempt,R,11,5,5,,,,10.41,11.56,,,0,,Incomplete,Errant,-3,4,PA,Slot Right,Bubble Screen,No Catch,1.15,0,
X-third-first full,1,JCU,30,,Pistol,Run,M,11,6,5,1,-3,,,,8.4,8.62,-3,,,,,,,,,No Catch,0,0.22,
,2,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,7.78,10.01,,,11,,Catch,OnTarg,-2,1,No,RB Right,Screen,13,2.23,0,
,3,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,10.34,13.3,,,15,,Catch,OnTarg,2,1,No,Single Back,Out Left,13,2.96,0,
,4,JCU,30,,Pistol,Run,R,10,6,5,1,2.5,,,,15.17,17.26,5,,,,,,,,,No Catch,0,2.09,
X,9,JCU,30,,Under,Run,L,10,6,5,1,1,,,,10.52,11.8,5,,,,,,,,,No Catch,0,1.28,
,10,JCU,30,,Pistol,Pass Attempt,R,10,6,5,,,,6.49,8.4,,,3,,Catch,OnTarg,-1,1,No,RB Right,Screen,4,1.91,0,
,11,JCU,30,,Pistol,Pass Attempt,R,11,7,5,,,,11.05,12.26,,,3,,Catch,OnTarg,-2,4,No,Slot Right,Bubble Screen,5,1.21,0,
,12,JCU,30,,Under,Pass Attempt,R,11,7,5,,,,10.34,14.92,,,0,,Drop,OnTarg,20,4,PA,Slot Right,Deep Out,No Catch,4.58,0,
X,1,JCU,30,,Pistol,Run,R,11,6,5,34,1.5,,,,1.26,3.6,2,,,,,,,,,No Catch,0,2.34,
,2,JCU,30,,Pistol,Pass Attempt,R,12,6,5,,,,9.92,12.81,,,4,,Catch,OnTarg,-1,84,PA,Tight Right,Chip n Release,5,2.89,0,
,3,JCU,30,,Pistol,Run,L,11,7,5,34,5,,,,7.51,9.91,5,,,,,,,,,No Catch,0,2.4,
,4,JCU,30,,Under,Pass Attempt,M,11,6,5,,,,5.09,8.37,,,45,,Catch,OnTarg,38,6,PA,Wide Left,Go,7,3.28,0,BEAUTIFUL
X,13,JCU,30,,Pistol,Pass Attempt,R,11,6,5,,,,1.73,4.44,,,28,,Catch,OnTarg,28,4,PA,Slot Right,Deep Out,0,2.71,0,
,14,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,3.04,5.96,,,0,,Incomplete,TurnWorthy,22,4,PA,Slot Left,Post,No Catch,2.92,0,
